;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENEINTERNET;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
0;Estrato 1;AMAZONAS;No;41.94565217391305;43.95652173913044;43.01086956521739;46.95652173913044;43.30797101449275;219.80797101449275
1;Estrato 1;AMAZONAS;Si;43.21052631578947;42.8421052631579;43.3421052631579;47.23684210526316;42.28947368421053;219.1578947368421
2;Estrato 1;ANTIOQUIA;No;42.21747861009254;44.79884756416972;40.4903090623363;47.87593853675572;42.536493801292124;220.29998253885105
3;Estrato 1;ANTIOQUIA;Si;45.26160767337238;47.91401409048468;44.035565741448096;50.77243018419489;45.168321874204224;235.14913844325608
4;Estrato 1;ARAUCA;No;45.23745624270712;50.2316219369895;44.56709451575262;50.540256709451576;47.35005834305718;240.23862310385064
5;Estrato 1;ARAUCA;Si;48.29655870445344;53.016194331983804;47.784412955465584;52.73076923076923;49.635627530364374;253.38360323886639
6;Estrato 1;ATLANTICO;No;43.29365079365079;47.4625350140056;44.06325863678805;49.0514705882353;45.46486928104575;230.72490662931838
7;Estrato 1;ATLANTICO;Si;47.67091161265918;51.56512419619216;48.22834447106292;52.920186609507;48.903416971378135;250.54356323288363
8;Estrato 1;BOGOTA;No;40.285714285714285;39.476190476190474;38.95238095238095;44.04761904761905;40.73809523809524;204.88095238095238
9;Estrato 1;BOGOTA;Si;45.7887323943662;46.647887323943664;46.83098591549296;50.46478873239437;45.929577464788736;235.98591549295776
10;Estrato 1;BOGOTÁ;No;44.53981623277182;48.15964777947933;44.134762633996935;50.025650842266465;45.65390505359878;234.3415007656968
11;Estrato 1;BOGOTÁ;Si;47.73732087227415;51.6398753894081;47.37171339563863;52.62816199376947;48.91165109034268;250.04785046728972
12;Estrato 1;BOLIVAR;No;41.408915559365624;45.312473210458634;41.536648092584656;47.31825975139306;43.355979425632235;220.65966566652378
13;Estrato 1;BOLIVAR;Si;45.69462647444299;49.419397116644824;46.0611620795107;51.058540847531674;47.00961118392311;240.6085626911315
14;Estrato 1;BOYACA;No;46.23834498834499;51.716006216006214;44.98581973581974;50.80769230769231;48.5003885003885;244.91064491064492
15;Estrato 1;BOYACA;Si;49.42171945701357;53.985972850678735;48.19049773755656;53.58506787330317;50.39366515837104;257.83529411764704
16;Estrato 1;CALDAS;No;44.06887755102041;47.159013605442176;43.26913265306123;49.27168367346939;45.48724489795919;231.24787414965985
17;Estrato 1;CALDAS;Si;46.22093023255814;49.715644820295985;46.5100422832981;51.23625792811839;47.73414376321353;242.77642706131078
18;Estrato 1;CAQUETA;No;43.85880302149913;48.053457292271936;43.32248692620569;49.03718768158048;45.0575246949448;231.27309703660663
19;Estrato 1;CAQUETA;Si;47.59633757961783;51.72452229299363;46.27468152866242;52.18312101910828;47.931528662420384;247.93391719745222
20;Estrato 1;CASANARE;No;45.7255621844883;50.8352455254704;45.05553005966039;50.57916475447453;47.75309775126205;242.22395594309316
21;Estrato 1;CASANARE;Si;48.28278950735765;52.994241842610364;47.591170825335894;53.17402431222009;49.669225847728725;253.82725527831093
22;Estrato 1;CAUCA;No;43.56881760537113;47.344274524431185;42.59903021260724;48.483774710928756;45.427079447967174;229.64117866467737
23;Estrato 1;CAUCA;Si;46.96195462478185;50.80418848167539;46.05095986038394;51.69109947643979;48.24153577661431;245.8279232111693
24;Estrato 1;CESAR;No;43.68669228082431;47.95337059028991;43.47275585050646;49.37338456164862;45.76999650716032;232.23751309814878
25;Estrato 1;CESAR;Si;47.371428571428574;51.430649350649354;46.855324675324674;52.41168831168831;48.78727272727273;248.7903896103896
26;Estrato 1;CHOCO;No;40.06559139784946;43.21612903225807;41.519354838709674;45.46935483870968;40.94247311827957;211.76774193548388
27;Estrato 1;CHOCO;Si;44.58949243098842;47.95102404274265;45.64470169189671;49.707925200356186;44.4986642920748;233.02404274265362
28;Estrato 1;CORDOBA;No;43.918593540989875;47.9557615134722;43.80240779667495;49.72625644945538;46.376743741639594;233.7448882094401
29;Estrato 1;CORDOBA;Si;48.934192269573835;52.63270564915758;48.83270564915758;53.93022794846382;50.54231912784935;256.5222993062438
30;Estrato 1;CUNDINAMARCA;No;44.870040557220946;49.402927173338036;44.10386175277729;50.118321283724214;46.81960853464997;237.59354611179685
