;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;COLE_JORNADA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
0;Estrato 1;AMAZONAS;COMPLETA;39.4;40.24;40.7;44.06;39.9;204.42
1;Estrato 1;AMAZONAS;MAÑANA;42.46875;45.65625;43.895833333333336;47.916666666666664;44.8125;225.53125
2;Estrato 1;AMAZONAS;NOCHE;37.76315789473684;37.76315789473684;39.81578947368421;43.921052631578945;38.73684210526316;197.89473684210526
3;Estrato 1;AMAZONAS;SABATINA;48.0;43.0;43.0;50.0;46.0;232.0
4;Estrato 1;AMAZONAS;TARDE;43.285714285714285;45.04081632653061;44.63265306122449;48.12244897959184;44.44897959183673;225.87755102040816
5;Estrato 1;AMAZONAS;UNICA;44.6;46.0;44.075;48.4375;44.5875;228.7875
6;Estrato 1;ANTIOQUIA;COMPLETA;45.08221746116765;48.082753079807176;42.542046063203;50.25495447241564;45.30021424745581;234.11408677021961
7;Estrato 1;ANTIOQUIA;MAÑANA;45.22404242781379;48.35144372421921;44.03830288744844;50.94826163818503;45.38856806128462;236.06658809664114
8;Estrato 1;ANTIOQUIA;NOCHE;38.8211467648606;40.85586533403472;38.29352972119937;44.904786954234616;39.483955812730144;204.03997895844293
9;Estrato 1;ANTIOQUIA;SABATINA;38.82154461384654;39.97675581104724;37.41514621344664;44.33916520869783;38.85353661584604;201.30517370657336
10;Estrato 1;ANTIOQUIA;TARDE;44.74281926646045;47.558550596553246;42.79319487406098;50.22669023420239;44.771100309323906;232.57578435704818
11;Estrato 1;ANTIOQUIA;UNICA;47.12241318835496;50.00315678709225;45.84601894072255;52.66397755173623;46.73412837600842;244.398456681866
12;Estrato 1;ARAUCA;COMPLETA;50.22222222222222;59.388888888888886;51.333333333333336;54.611111111111114;53.22222222222222;270.55555555555554
13;Estrato 1;ARAUCA;MAÑANA;48.31184486373166;53.68238993710692;47.79454926624738;53.17976939203354;50.397274633123686;255.57651991614256
14;Estrato 1;ARAUCA;NOCHE;40.3741935483871;44.251612903225805;40.00645161290323;46.019354838709674;41.94193548387097;214.55483870967743
15;Estrato 1;ARAUCA;SABATINA;40.468384074941454;43.44730679156908;39.36533957845433;45.53629976580796;41.54566744730679;212.4192037470726
16;Estrato 1;ARAUCA;TARDE;44.40243902439025;49.65243902439025;43.73780487804878;50.298780487804876;45.207317073170735;235.4939024390244
17;Estrato 1;ARAUCA;UNICA;45.03333333333333;47.6;43.333333333333336;48.266666666666666;47.56666666666667;234.06666666666666
18;Estrato 1;ATLANTICO;COMPLETA;50.930278884462155;54.13147410358566;52.15139442231076;55.74701195219124;51.55776892430279;265.1035856573705
19;Estrato 1;ATLANTICO;MAÑANA;44.9906048150323;48.938344098649445;45.68604423566256;50.74045801526717;47.07868467410452;238.82129575259347
20;Estrato 1;ATLANTICO;NOCHE;38.39813953488372;41.53209302325581;38.944186046511625;44.46325581395349;40.202790697674416;204.89302325581394
21;Estrato 1;ATLANTICO;SABATINA;40.61538461538461;39.51923076923077;36.48076923076923;44.21153846153846;39.25;202.71153846153845
22;Estrato 1;ATLANTICO;TARDE;44.28341584158416;49.06497524752475;46.24876237623762;50.192450495049506;46.56188118811881;237.1367574257426
23;Estrato 1;ATLANTICO;UNICA;46.487661141804786;50.63609576427256;46.89294045426642;51.75653775322284;47.94180478821363;245.14155923879682
24;Estrato 1;BOGOTA;COMPLETA;60.0;63.111111111111114;72.66666666666667;63.333333333333336;60.666666666666664;313.22222222222223
25;Estrato 1;BOGOTA;MAÑANA;40.76315789473684;41.18421052631579;39.28947368421053;44.78947368421053;40.6578947368421;208.28947368421052
26;Estrato 1;BOGOTA;NOCHE;41.975;42.125;41.575;45.75;42.475;214.9
27;Estrato 1;BOGOTA;SABATINA;44.625;43.833333333333336;43.833333333333336;50.958333333333336;45.125;229.875
28;Estrato 1;BOGOTA;TARDE;52.0;50.0;49.5;54.0;49.5;256.5
29;Estrato 1;BOGOTÁ;COMPLETA;51.27217125382263;55.160040774719675;51.218144750254844;55.279306829765545;51.95820591233435;266.23853211009174
30;Estrato 1;BOGOTÁ;MAÑANA;47.19968676585748;51.51814147742104;47.04333072304881;52.37666405638215;48.68024014617593;248.60219263899765
31;Estrato 1;BOGOTÁ;NOCHE;41.49480249480249;43.87214137214137;40.84615384615385;47.07796257796258;42.16632016632017;217.1912681912682
32;Estrato 1;BOGOTÁ;SABATINA;40.65311653116531;43.47154471544715;39.77235772357724;46.34688346883469;41.87533875338753;214.15989159891598
33;Estrato 1;BOGOTÁ;TARDE;46.49459962756052;50.22011173184357;46.43761638733706;51.857728119180635;47.749348230912474;244.3947858472998
34;Estrato 1;BOGOTÁ;UNICA;48.95135433941404;52.867882808181314;47.71420674405749;53.34162520729685;49.793255942509674;254.83471531232726
35;Estrato 1;BOLIVAR;COMPLETA;48.11282051282051;53.756410256410255;48.57435897435897;53.853846153846156;51.225641025641025;257.4769230769231
36;Estrato 1;BOLIVAR;MAÑANA;43.27806241266884;47.12529110386586;43.17955286446204;48.80053563111318;44.86585933861202;228.9896367023754
37;Estrato 1;BOLIVAR;NOCHE;36.605790645879736;39.204899777282854;36.75055679287305;42.32516703786192;38.1826280623608;194.50779510022272
38;Estrato 1;BOLIVAR;SABATINA;36.48888888888889;38.82222222222222;36.92;42.28;38.00888888888889;193.74666666666667
