;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENELAVADORA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
0;Estrato 1;AMAZONAS;No;40.77386934673367;42.58793969849246;42.2964824120603;46.040201005025125;41.969849246231156;213.98994974874373
1;Estrato 1;AMAZONAS;Si;44.391304347826086;45.95652173913044;44.356521739130436;48.63478260869565;45.28695652173913;229.66086956521738
2;Estrato 1;ANTIOQUIA;No;42.97396518941056;45.10019014187509;40.974550241333915;48.2876992833114;42.91516747111306;222.61839988298962
3;Estrato 1;ANTIOQUIA;Si;44.089096231247716;46.91126966703256;42.83546773996829;49.78521770947677;44.26942310037809;230.00158555921453
4;Estrato 1;ARAUCA;No;45.386138613861384;49.64108910891089;44.4220297029703;50.45049504950495;47.06930693069307;239.24381188118812
5;Estrato 1;ARAUCA;Si;46.76979936642027;51.93611404435058;46.30728616684266;51.721224920802534;48.66209081309398;247.52006335797253
6;Estrato 1;ATLANTICO;No;44.299546545745535;48.30968258202187;44.563350226727124;49.847425980261406;46.10882902107229;234.7223259535876
7;Estrato 1;ATLANTICO;Si;45.72070588235294;49.76541176470588;46.50705882352941;51.22392156862745;47.41443137254902;241.87749019607844
8;Estrato 1;BOGOTA;No;39.142857142857146;37.666666666666664;35.857142857142854;43.857142857142854;39.904761904761905;199.0952380952381
9;Estrato 1;BOGOTA;Si;44.79347826086956;45.42391304347826;45.73913043478261;49.04347826086956;44.93478260869565;230.20652173913044
10;Estrato 1;BOGOTÁ;No;45.631552917903065;48.87636003956479;44.91988130563798;50.59347181008902;46.375865479723046;238.21463897131554
11;Estrato 1;BOGOTÁ;Si;47.26210098665119;51.233313987231575;46.96575739988393;52.31665699361579;48.51909460243761;248.06314567614626
12;Estrato 1;BOLIVAR;No;42.06638736706413;45.63938124395746;42.00161134386078;47.728971962616825;43.51788591685466;222.64195939413472
13;Estrato 1;BOLIVAR;Si;43.03562505783289;46.95836032201351;43.31979272693624;48.78476913111872;44.85722217081521;228.54113074858887
14;Estrato 1;BOYACA;No;46.53617239610056;51.60569522832222;44.925602873268346;50.7891226269882;48.3945613134941;244.95895330938944
15;Estrato 1;BOYACA;Si;47.936127167630055;53.29017341040463;47.10057803468208;52.60260115606936;49.82890173410404;253.11156069364162
16;Estrato 1;CALDAS;No;44.59766385463985;47.15833874107722;43.64892926670993;49.76119402985075;45.73069435431538;232.8429591174562
17;Estrato 1;CALDAS;Si;45.27376988531262;48.94894561598224;45.321124676285606;50.367739548649645;46.9211986681465;238.4080651128376
18;Estrato 1;CAQUETA;No;43.89818688981869;48.24476987447699;43.14365411436541;49.03695955369596;45.01046025104603;231.42538354253836
19;Estrato 1;CAQUETA;Si;46.86454957874271;50.86390149060272;45.891769280622164;51.59818535320804;47.440699935191184;244.69345430978612
20;Estrato 1;CASANARE;No;45.51819986763733;50.172733289212445;44.52217074784911;50.38120450033091;47.33884844473858;240.29649238914627
21;Estrato 1;CASANARE;Si;47.657552666965486;52.79650380995069;47.19318691169879;52.5311519497983;49.376064545047065;251.6584491259525
22;Estrato 1;CAUCA;No;43.80374181478017;47.40729653882133;42.81272217025257;48.70776426566885;45.4956033676333;230.41085126286248
23;Estrato 1;CAUCA;Si;46.506245662734216;50.666897987508676;45.63428174878557;51.25676613462873;48.097848716169324;244.30499653018737
24;Estrato 1;CESAR;No;44.84805244890089;48.98225993058234;44.35210181257231;50.23486309294254;46.67990744311608;237.1469340532202
25;Estrato 1;CESAR;Si;45.286982672203926;49.48847200343692;45.01116998424746;50.728626664757265;47.09566089073464;239.54074180151798
26;Estrato 1;CHOCO;No;40.1604774535809;43.06366047745358;41.762599469496024;45.236074270557026;40.91644562334218;211.47745358090185
27;Estrato 1;CHOCO;Si;42.31269627635711;45.653207716464784;43.51547779273217;47.68371467025572;42.74293405114401;222.57514580529386
28;Estrato 1;CORDOBA;No;44.09815950920245;47.829057445621864;44.044060234244284;49.68153931957613;46.261572783045175;233.71305075292804
29;Estrato 1;CORDOBA;Si;45.98649895178197;49.97249475890985;45.857861635220125;51.51823899371069;48.173668763102725;243.39069182389937
30;Estrato 1;CUNDINAMARCA;No;45.39766392354659;49.363950092912134;44.27289620387576;50.17892221927263;46.95380939739846;238.44783647464826
31;Estrato 1;CUNDINAMARCA;Si;46.29105965342739;51.00812758779328;45.84434902622297;51.63379849716301;47.874865818126054;244.71522772580892
32;Estrato 1;EXTRANJERO;No;47.333333333333336;56.333333333333336;43.666666666666664;52.333333333333336;46.0;249.66666666666666
33;Estrato 1;EXTRANJERO;Si;52.5;55.625;48.625;54.25;49.875;263.75
34;Estrato 1;GUAINIA;No;43.231884057971016;45.68115942028985;42.94202898550725;46.130434782608695;43.594202898550726;222.6086956521739
35;Estrato 1;GUAINIA;Si;46.72549019607843;54.549019607843135;46.254901960784316;52.568627450980394;48.05882352941177;250.76470588235293
36;Estrato 1;GUAVIARE;No;42.30084745762712;47.36440677966102;40.847457627118644;47.309322033898304;43.79237288135593;224.28813559322035
37;Estrato 1;GUAVIARE;Si;45.08417508417509;51.03703703703704;43.01010101010101;50.74074074074074;46.92929292929293;240.15824915824916
38;Estrato 1;HUILA;No;46.713320724128614;51.04620372872197;45.70953796271278;51.82680356660362;48.72656038908403;246.408808430154
39;Estrato 1;HUILA;Si;47.57213184931507;52.227097602739725;47.05115582191781;52.79173801369863;49.730736301369866;251.54130993150685
40;Estrato 1;LA GUAJIRA;No;42.595238095238095;46.02020202020202;41.774170274170274;47.70779220779221;43.76406926406926;223.85209235209234
41;Estrato 1;LA GUAJIRA;Si;43.96334253054789;47.845880961765864;43.20772566022862;49.42136381553016;45.5672053606622;232.15963736696887
42;Estrato 1;MAGDALENA;No;41.86775510204082;45.0665306122449;41.116734693877554;47.28081632653061;43.34979591836735;220.7004081632653
43;Estrato 1;MAGDALENA;Si;42.64454694241928;46.086296682041365;42.013242077071865;48.23300104151168;44.2216932004166;225.21871745276002
44;Estrato 1;META;No;44.98483997754071;49.674340258281866;44.17742841100505;50.43627175743964;46.870297585626055;238.49017405951713
45;Estrato 1;META;Si;46.213976321108866;51.131388969101934;45.71383193762634;51.61911637308692;47.943401674848396;244.79006641640197
46;Estrato 1;NARIÑO;No;47.36201950659782;51.84670109007458;46.440963855421685;51.8512908777969;49.63293172690763;249.42570281124497
47;Estrato 1;NARIÑO;Si;47.55850499044383;52.363983860692294;47.14631556593756;52.37821193459333;49.57103418984922;251.06476959014654
48;Estrato 1;NORTE SANTANDER;No;47.21898468008411;52.5581255632322;46.34905376990087;52.47401622108741;49.50405527185341;250.6227095223791
49;Estrato 1;NORTE SANTANDER;Si;47.717433456724834;53.05834655385158;47.07315353428521;52.7934073682355;49.87184910981844;252.8475233562489
50;Estrato 1;PUTUMAYO;No;45.592152813629326;50.00980898296334;44.447599380485286;50.427465152297366;47.24780588538978;240.10841507485802
51;Estrato 1;PUTUMAYO;Si;47.41566690190543;52.22159491884263;46.559633027522935;52.494001411432606;49.130557515878614;250.13973182780524
52;Estrato 1;QUINDIO;No;45.26143790849673;47.98300653594771;45.53333333333333;50.179084967320264;45.6875816993464;235.7281045751634
53;Estrato 1;QUINDIO;Si;46.423719676549865;50.26630727762803;46.933692722371966;51.988679245283016;47.495956873315365;244.40646900269542
54;Estrato 1;RISARALDA;No;45.41245487364621;47.87003610108303;45.16245487364621;50.32581227436823;46.23916967509025;236.4404332129964
55;Estrato 1;RISARALDA;Si;46.420907297830375;49.73530571992111;46.66232741617357;51.48441814595661;47.65956607495069;243.28639053254437
56;Estrato 1;SAN ANDRES;No;41.23076923076923;42.84615384615385;49.61538461538461;47.07692307692308;44.30769230769231;221.46153846153845
57;Estrato 1;SAN ANDRES;Si;41.845794392523366;45.16822429906542;49.27570093457944;48.93457943925234;43.3411214953271;225.82242990654206
58;Estrato 1;SANTANDER;No;47.716870415647925;52.616870415647924;45.65012224938875;52.37041564792176;49.522982885085575;250.89266503667483
59;Estrato 1;SANTANDER;Si;48.50469743022934;53.745786128764856;46.96836142580823;53.44860458690246;50.426084553744126;255.90342636087317
60;Estrato 1;SUCRE;No;44.60515222482436;48.16440281030445;43.98126463700234;49.94847775175644;46.93255269320843;235.75222482435598
61;Estrato 1;SUCRE;Si;45.89812510370002;49.805873568939774;45.26547204247553;51.27061556329849;48.18964659034346;242.5964824954372
62;Estrato 1;TOLIMA;No;43.54211418880723;46.93668739400791;42.682023742227244;48.69700395703787;45.00904465799887;228.94064443188242
63;Estrato 1;TOLIMA;Si;45.28944099378882;49.09590062111801;44.73316770186335;50.49416149068323;46.802981366459626;238.36695652173913
64;Estrato 1;VALLE;No;45.262098335269066;48.02710027100271;44.162408052651955;50.57104142469996;45.99361207897793;236.04355400696863
65;Estrato 1;VALLE;Si;46.107530981887514;49.23307912297426;45.93794089609152;51.42116301239275;47.15929456625358;241.4212583412774
66;Estrato 1;VAUPES;No;42.80555555555556;44.8125;42.201388888888886;46.21527777777778;43.125;220.38888888888889
67;Estrato 1;VAUPES;Si;46.320754716981135;48.75471698113208;46.84905660377358;50.79245283018868;46.18867924528302;239.62264150943398
68;Estrato 1;VICHADA;No;45.251612903225805;48.21935483870968;41.806451612903224;49.89032258064516;46.08387096774194;234.63870967741934
69;Estrato 1;VICHADA;Si;46.24096385542169;50.78915662650602;43.62048192771084;51.403614457831324;47.84939759036145;243.26506024096386
70;Estrato 2;AMAZONAS;No;40.48453608247423;42.618556701030926;42.381443298969074;45.876288659793815;41.845360824742265;213.43298969072166
71;Estrato 2;AMAZONAS;Si;46.24848484848485;50.03636363636364;47.75757575757576;51.27272727272727;47.696969696969695;243.6909090909091
72;Estrato 2;ANTIOQUIA;No;44.81964117091596;47.35464724133279;43.69553487117226;50.17617698637529;44.8557938756239;232.81438014299204
73;Estrato 2;ANTIOQUIA;Si;47.30313819657199;50.21768651155088;46.83486517071017;52.67022715354255;47.205073003781294;245.77712456183932
74;Estrato 2;ARAUCA;No;45.01556420233463;49.42412451361868;44.69649805447471;50.509727626459146;46.011673151750976;237.52529182879377
75;Estrato 2;ARAUCA;Si;47.357215967246674;52.469805527123846;47.836233367451385;52.690890481064486;49.16171954964176;251.10849539406345
76;Estrato 2;ATLANTICO;No;46.39957537154989;50.102335456475586;47.538428874734606;51.77622080679406;47.46751592356688;244.1515923566879
77;Estrato 2;ATLANTICO;Si;47.83208185493853;51.819292020793796;49.61374700882911;53.23665318920703;49.25802458948758;252.32940011552108
78;Estrato 2;BOGOTA;No;45.89473684210526;48.171052631578945;46.78947368421053;50.71052631578947;46.36842105263158;238.53947368421052
79;Estrato 2;BOGOTA;Si;45.38075313807531;48.07949790794979;46.88075313807531;50.85355648535565;46.39748953974895;238.05648535564853
80;Estrato 2;BOGOTÁ;No;48.09371904101447;51.17554983158312;47.84545274420448;52.77511392906677;48.77115117891817;250.11412720427978
81;Estrato 2;BOGOTÁ;Si;50.20672497314833;53.98375748010785;50.804563687775364;54.78847460599285;51.01812761666776;261.84634269305803
82;Estrato 2;BOLIVAR;No;44.00350385423966;47.584442887175896;44.72109320252277;49.6937631394534;45.561317449194114;232.7967764540995
83;Estrato 2;BOLIVAR;Si;45.4931394394277;49.36319924944294;46.715726515773426;51.22798170517181;47.08948047378914;240.85645596341035
84;Estrato 2;BOYACA;No;48.340528259017326;53.291962510650386;47.039193410962795;52.539903436523716;49.9457540471457;253.61885827889805
85;Estrato 2;BOYACA;Si;51.596663499102526;56.3418857565199;50.683877098511246;55.4711223735614;52.784183296378416;268.9478407771091
