ANIO;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count;mean;min;max;count
20142;50.15063803039985;0;100;480463;50.23391187250631;0;100;480463;50.201653405152946;0.0;100.0;480463;50.23872597889952;0;100;480463;50.22699354580894;0;100;480463;251.0591804155575;0;482;480463
20151;55.84715388434975;0;100;22153;55.941904031056744;0;100;22153;59.14426939917844;0.0;100.0;22153;54.61057193156683;0;100;22153;55.35963526384688;0;100;22153;278.6198708978468;51;488;22153
20152;50.08158995372421;0;100;471737;50.439128158274634;0;100;471737;50.57040045618639;0.0;100.0;471737;49.94892281080348;0;100;471737;50.31365570222391;0;100;471737;251.1236833235468;0;492;471737
20161;63.987128882787026;19;100;11654;68.25527715805732;15;100;11654;72.40303758366227;0.0;100.0;11654;60.754161661232196;24;100;11654;65.2370001716149;1;100;11654;325.81139522910587;139;494;11654
20162;50.80055389967323;0;100;473732;51.11802453708004;0;100;473732;52.236946205871675;0.0;100.0;473732;52.83889625357797;0;100;473732;52.84835940996175;0;100;473732;259.63639990543174;37;468;473732
20171;62.23148063364161;19;100;10921;62.68317919604432;17;100;10921;70.19274791685743;13.0;100.0;10921;62.561487043311054;28;100;10921;63.09431370753594;24;100;10921;316.1170222507096;146;476;10921
20172;50.93887504898393;18;100;428712;50.963982813637124;17;100;428712;50.23869170911941;0.0;100.0;428712;53.832775849521354;0;100;428712;52.01260519882812;0;100;428712;259.0327632536528;85;476;428712
20181;62.66390680658515;22;100;10387;64.28169827669201;21;100;10387;70.85934341003177;24.0;100.0;10387;64.60633484162896;29;100;10387;63.35525175700395;25;100;10387;321.3775873688264;147;475;10387
20182;48.97080469819339;0;100;418629;51.15673543877753;0;100;418629;51.41017941900824;0.0;100.0;418629;53.25249325775329;0;100;418629;50.388711723268095;0;100;418629;254.89090340134103;0;478;418629
20191;56.331182087586434;18;100;15185;59.24050049390846;16;100;15185;63.23859071452091;0.0;100.0;15185;59.707013500164635;21;100;15185;57.11432334540665;23;100;15185;292.46763253210406;123;470;15185
20192;46.95604554178271;0;100;415794;51.51495933082248;15;100;415794;49.2603524822388;0.0;100.0;415794;52.84260715642842;0;100;415794;49.076588406759114;19;100;415794;250.16557958989307;75;477;415794
20201;57.012445494186046;18;100;11008;60.56104651162791;0;100;11008;67.46366279069767;0.0;100.0;11008;60.801962209302324;22;100;11008;57.854560319767444;21;100;11008;298.5180777616279;132;479;11008
20202;48.75008053245268;0;100;394251;51.617604013686716;0;100;394251;47.42693613966737;0.0;100.0;394251;52.62216456014062;0;100;394251;48.7578344760064;0;100;394251;251.02705129473355;0;500;394251
20211;59.38356278681685;18;100;11985;62.56145181476846;15;100;11985;69.88260325406759;20.0;100.0;11985;62.46441385064664;24;100;11985;59.16011681268252;24;100;11985;307.91756362119315;134;495;11985
